,File Name,Position,date,Time Delay,TeS,LeW,Integration,RMSE,Lat,Lon,Elevation,Orbit,Outlier
0,D:\Cryosat_2_data\Cryosat-2_Files\Greenland_Cryosat_2_data_LRM_1B\SIR_LRM_L1/2010/07\CS_LTA__SIR_LRM_1B_20100725T163642_20100725T163806_D001.nc,968,1280016000.0,0.004901899601,0.0,8.431662881281227,0.0,0.0,77.455379,-50.5004654,2504.0,D,Yes
1,D:\Cryosat_2_data\Cryosat-2_Files\Greenland_Cryosat_2_data_LRM_1B\SIR_LRM_L1/2010/07\CS_LTA__SIR_LRM_1B_20100725T163642_20100725T163806_D001.nc,969,1280016000.0,0.004901894778,0.0,10.30536574369762,0.0,0.0,77.452579,-50.5027848,2504.0,D,Yes
2,D:\Cryosat_2_data\Cryosat-2_Files\Greenland_Cryosat_2_data_LRM_1B\SIR_LRM_L1/2010/09\CS_LTA__SIR_LRM_1B_20100921T134651_20100921T134811_D001.nc,841,1285027200.0,0.004810014731,0.0,4.215831440640613,0.0,0.0,77.626631,-50.9023057,2466.0,D,Yes
3,D:\Cryosat_2_data\Cryosat-2_Files\Greenland_Cryosat_2_data_LRM_1B\SIR_LRM_L1/2010/09\CS_LTA__SIR_LRM_1B_20100921T134651_20100921T134811_D001.nc,878,1285027200.0,0.004809919888,0.0,6.089534303057008,0.0,0.0,77.52264869999999,-50.9897868,2474.0,D,Yes
4,D:\Cryosat_2_data\Cryosat-2_Files\Greenland_Cryosat_2_data_LRM_1B\SIR_LRM_L1/2010/09\CS_LTA__SIR_LRM_1B_20100925T001951_20100925T002241_D001.nc,2750,1285372800.0,0.004805459042,0.0,9.368514312547632,0.0,0.0,77.4537715,-50.4446582,2507.0,A,Yes
5,D:\Cryosat_2_data\Cryosat-2_Files\Greenland_Cryosat_2_data_LRM_1B\SIR_LRM_L1/2010/10\CS_LTA__SIR_LRM_1B_20101023T225451_20101023T225741_D001.nc,2700,1287792000.0,0.004872624543,0.0,7.963237165706232,0.0,0.0,77.42721569999999,-50.6615744,2499.0,A,Yes
6,D:\Cryosat_2_data\Cryosat-2_Files\Greenland_Cryosat_2_data_LRM_1B\SIR_LRM_L1/2010/10\CS_LTA__SIR_LRM_1B_20101023T225451_20101023T225741_D001.nc,2720,1287792000.0,0.0048727528039999,0.0,7.026385734323412,0.0,0.0,77.4832923,-50.7078274,2492.0,A,Yes
7,D:\Cryosat_2_data\Cryosat-2_Files\Greenland_Cryosat_2_data_LRM_1B\SIR_LRM_L1/2010/10\CS_LTA__SIR_LRM_1B_20101023T225451_20101023T225741_D001.nc,2760,1287792000.0,0.004873021556,0.0,6.5579600187484175,0.0,0.0,77.5954241,-50.8014618,2475.0,A,Yes
8,D:\Cryosat_2_data\Cryosat-2_Files\Greenland_Cryosat_2_data_LRM_1B\SIR_LRM_L1/2010/10\CS_LTA__SIR_LRM_1B_20101023T225451_20101023T225741_D001.nc,2765,1287792000.0,0.004873062153,0.0,6.089534303173423,0.0,0.0,77.6094391,-50.8132738,2472.0,A,Yes
9,D:\Cryosat_2_data\Cryosat-2_Files\Greenland_Cryosat_2_data_LRM_1B\SIR_LRM_L1/2010/10\CS_LTA__SIR_LRM_1B_20101025T225310_20101025T225515_D001.nc,1695,1287964800.0,0.004878099183,0.0,7.026385734439828,0.0,0.0,77.36066509999999,-51.4802847,2463.0,A,Yes
10,D:\Cryosat_2_data\Cryosat-2_Files\Greenland_Cryosat_2_data_LRM_1B\SIR_LRM_L1/2010/10\CS_LTA__SIR_LRM_1B_20101025T225310_20101025T225515_D001.nc,1734,1287964800.0,0.004878296237,0.0,7.026385734439828,0.0,0.0,77.4700005,-51.5699183,2454.0,A,Yes
11,D:\Cryosat_2_data\Cryosat-2_Files\Greenland_Cryosat_2_data_LRM_1B\SIR_LRM_L1/2010/11\CS_LTA__SIR_LRM_1B_20101116T105918_20101116T110040_D001.nc,889,1289865600.0,0.004892568011,0.0,8.431662881281227,0.0,0.0,77.3084373,-50.8762863,2496.0,D,Yes
12,D:\Cryosat_2_data\Cryosat-2_Files\Greenland_Cryosat_2_data_LRM_1B\SIR_LRM_L1/2010/11\CS_LTA__SIR_LRM_1B_20101116T105918_20101116T110040_D001.nc,881,1289865600.0,0.00489259682,0.0,7.026385734439828,0.0,0.0,77.3308563,-50.8581785,2496.0,D,Yes
13,D:\Cryosat_2_data\Cryosat-2_Files\Greenland_Cryosat_2_data_LRM_1B\SIR_LRM_L1/2010/11\CS_LTA__SIR_LRM_1B_20101116T105918_20101116T110040_D001.nc,853,1289865600.0,0.004892702063,0.0,7.963237165589817,0.0,0.0,77.4093154,-50.7943444,2494.0,D,Yes
