,date,Elevation 1,Elevation 1 sm,Elevation 2,Elevation 2 sm,Elevation 3,Elevation 3 sm
0,2010-08-01,2100.397466712118,2143.457510535153,2130.887130738453,2145.2335220350774,2130.289780475764,2147.471156071987
1,2010-10-12,2139.1487984992714,2141.427539665041,2144.0959008852183,2143.810682121231,2146.4014283378347,2146.0301267259993
2,2010-12-09,2142.301559497794,2139.535801600583,2142.111674017634,2142.692614129383,2144.2255007913745,2144.8972981412594
3,2011-01-30,2138.177795093692,2137.78836597028,2142.150163853159,2141.713324662989,2144.0580706537903,2143.8877410191144
4,2011-04-03,2136.7947610819137,2136.3185910493025,2140.4039572806846,2141.0368689902843,2143.3721106596904,2143.1939724753174
5,2011-05-22,2127.887578401246,2135.8157244183767,2138.175698202149,2140.9086598221093,2139.245638286272,2143.0525427423686
6,2011-07-21,2135.800404812056,2134.8871502956467,2140.8400663383627,2140.7572915665,2143.3057448241743,2142.684976120864
7,2011-09-16,2142.3341547647287,2134.3900659498477,2142.830317949587,2140.6698426191906,2145.2884929706124,2142.3799590150643
8,2011-11-10,2130.993640885364,2134.869467344479,2140.791941424759,2140.690759475933,2141.188214085778,2142.4098407593456
9,2012-01-09,2130.357794698872,2134.808995357511,2139.3760454211365,2140.3977777788346,2140.399192904213,2142.274293882957
10,2012-02-28,2137.6080232775885,2134.06809218718,2140.1986278790546,2139.8400461299916,2142.707478552449,2141.939617178271
11,2012-04-29,2137.669885836279,2133.632494981326,2140.427140494309,2139.198815561994,2143.934973370517,2141.7088697030217
12,2012-06-28,2129.9538840316827,2133.3954280110934,2137.731544433932,2139.011432176825,2140.4613657808786,2141.7271365454876
13,2012-08-18,2132.4164350123065,2133.273328982347,2137.154925628041,2138.9897144131833,2140.573667386145,2141.686227163099
14,2012-10-17,2129.0171283025998,2133.718051179033,2139.338878327946,2139.0733934931864,2141.303084984276,2141.62632820836
15,2012-12-10,2139.9256828892303,2134.439270971241,2140.790748111659,2139.2692546264575,2143.8594773801524,2141.761325199578
16,2013-02-06,2135.7190603433737,2134.8311832272225,2139.6633173999844,2139.381217375873,2141.1857997738125,2141.844796073333
17,2013-04-07,2137.6838465941587,2134.222017210236,2139.271962582109,2138.9931123351553,2142.5824695103447,2141.579477978608
18,2013-05-26,2129.296562227676,2133.879201510426,2137.871621380946,2138.792153066347,2140.278565917707,2141.4620615036156
19,2013-07-26,2126.1655650440725,2133.704622901785,2136.9810458443726,2138.8514859513107,2139.635540020668,2141.429109241572
20,2013-09-07,2142.36212557163,2133.768891194075,2141.8833670142203,2139.0175222701273,2145.33518622675,2141.4903361864936
21,2013-11-16,2133.966363251686,2135.445417974849,2139.01304915972,2139.5544505576936,2140.591690309144,2141.9854959286054
22,2014-01-14,2135.6794142481576,2136.775770299369,2140.8258091214084,2139.9164309198113,2142.718039091222,2142.374961795616
23,2014-03-05,2139.2092146712203,2136.7990685523137,2140.094841666263,2139.90964870466,2142.8340774101307,2142.4743485765553
24,2014-05-05,2137.9259034814604,2136.4681509805264,2139.672965736322,2139.8983418102584,2142.8307642524333,2142.4462070967156
25,2014-07-04,2137.1033162290496,2136.1313898135736,2139.4329112229907,2140.334078998505,2143.3881825100143,2142.2558542545003
26,2014-08-24,2129.263442860686,2136.139919473544,2136.2195485835905,2140.730205152877,2138.24382130819,2142.085252530454
27,2014-10-23,2139.0776499959065,2136.854168190437,2141.9269692405383,2140.989087504654,2143.3329003427125,2142.055704282291
28,2014-12-04,2115.0020209074883,2137.0125379837755,2145.406369298794,2141.2544268589336,2140.6596112407587,2142.1633937067672
