,date,Elevation 1,Elevation 1 sm,Elevation 2,Elevation 2 sm,Elevation 3,Elevation 3 sm
0,2010-07-26,3248.417950391502,3248.445460043071,3248.3627501515275,3248.40597886307,3249.0382067100054,3249.0510579190386
1,2010-11-11,3248.3787253398414,3248.213227530137,3248.298585636825,3248.1325039578705,3249.121819467088,3248.9616139530276
2,2010-12-18,3247.391988163266,3248.1351331145825,3247.171871440899,3248.040505649099,3248.547530973452,3248.932092037001
3,2011-02-04,3248.4604145339736,3248.035335580327,3248.382596668908,3247.923462743914,3249.120515184985,3248.8941729716403
4,2011-03-18,3247.917732500124,3247.950215724979,3247.794276910241,3247.823838019481,3248.749320425805,3248.8613287809044
5,2011-05-01,3247.7359146579824,3247.8729107500585,3247.52487453542,3247.730289041696,3248.904948052922,3248.8339670208393
6,2011-06-11,3247.5053794949736,3247.8027448064736,3247.2924553968264,3247.64336749463,3248.644402711317,3248.812439275032
7,2011-07-23,3247.6543118979616,3247.7266811114905,3247.5325791912096,3247.551029383113,3248.663902759444,3248.7919170822997
8,2011-09-04,3248.319921241192,3247.6474907129295,3248.2149369755552,3247.4575605268756,3249.074747213947,3248.768272087715
9,2011-10-16,3247.755314677346,3247.5895444201683,3247.597703690796,3247.3904097737272,3248.7490929206,3248.7502005401707
10,2011-11-27,3247.443891869485,3247.5376078170593,3247.185835264094,3247.331943690231,3248.783171370097,3248.7326932212422
11,2012-01-09,3247.2085929431964,3247.5111962848255,3246.98676726921,3247.3069009920605,3248.5373505134467,3248.724704305523
12,2012-02-19,3247.53333272507,3247.533299072223,3247.2768104284096,3247.341246801459,3248.8528318990184,3248.723878310499
13,2012-04-03,3246.7329654170144,3247.623440046638,3246.426548147155,3247.4537335031246,3248.407199944552,3248.740468686471
14,2012-05-07,3247.120717045804,3247.738529918664,3246.84871604086,3247.59049573739,3248.602817189528,3248.7661580554422
15,2012-06-13,3247.762228348125,3247.8664729074762,3247.6121255438647,3247.7410658952713,3248.952429080513,3248.796223053223
16,2012-07-26,3248.3023346663986,3248.027442929837,3248.242757517652,3247.9279953818655,3248.8319302353502,3248.8351743383387
17,2012-09-06,3248.8838983998708,3248.1875038238063,3248.8987703565704,3248.113382787205,3249.1510479992776,3248.8708428921736
18,2012-10-18,3248.4144591196928,3248.297810202079,3248.396030538602,3248.2399922606887,3248.8152701485224,3248.8833152310444
19,2012-11-30,3248.52972885499,3248.343003797697,3248.491896430938,3248.295152659854,3248.9680003933954,3248.861442417822
20,2013-01-15,3248.457861985378,3248.310656181093,3248.4387240460737,3248.2673901760504,3248.8711430335925,3248.8087544321124
21,2013-02-22,3248.4272956004725,3248.2314891203964,3248.3734168306646,3248.182548486821,3248.920676915513,3248.7628435983283
22,2013-04-06,3247.9436158517706,3248.1416852310244,3247.888072128644,3248.0839593897854,3248.5280719422035,3248.72338686863
23,2013-05-02,3247.571546591447,3248.0889832720277,3247.500940877054,3248.02522017834,3248.1970475432545,3248.704994871813
24,2013-06-16,3248.1268840451235,3247.9971063311573,3248.037383547822,3247.9214202205367,3248.718186078023,3248.6772406803534
25,2013-07-28,3247.814642956861,3247.930226309354,3247.7657150093737,3247.844927708038,3248.51046795312,3248.66492029635
26,2013-09-09,3248.093644971914,3247.9080357960984,3248.0028965203137,3247.8189896838635,3248.8984707755862,3248.684040444821
27,2013-10-24,3247.778990646514,3247.923458821943,3247.650181343871,3247.837282514772,3248.684589990793,3248.732070984421
28,2013-12-03,3247.681914353306,3247.930103124717,3247.549037623744,3247.8467108424384,3248.600601072359,3248.771330555363
29,2014-01-29,3248.100953674369,3247.910344495669,3248.027907309484,3247.830967106917,3248.948136728114,3248.8011170519144
30,2014-03-15,3248.1578856144874,3247.8948491205374,3248.1537311036955,3247.8181332679364,3248.920765593798,3248.8202199836724
31,2014-04-25,3247.782949026925,3247.880441834707,3247.697516140118,3247.8072535837227,3248.8082243969,3248.833020264018
32,2014-06-08,3248.0006281325864,3247.865510351407,3247.962789910608,3247.794263883912,3248.9420468532617,3248.8489976362985
33,2014-07-20,3247.4609371186943,3247.8351686869546,3247.395111558424,3247.7605922622033,3248.517643097127,3248.8574479739036
34,2014-08-30,3247.96028914316,3247.7904662126307,3247.8572203286467,3247.709817315291,3249.048823410853,3248.8582784100495
35,2014-10-12,3247.5661949040427,3247.738042514067,3247.463997776655,3247.6507599733072,3248.6557273049325,3248.8549447811893
36,2014-11-23,3247.9473755551653,3247.6944699031483,3247.880297062638,3247.603005107835,3249.013364198129,3248.8535685411603
37,2015-01-04,3247.7346513346038,3247.659939830517,3247.6224253412133,3247.56790604254,3248.9217373695324,3248.8526716723563
38,2015-02-16,3247.5889691365437,3247.624350735924,3247.493252061818,3247.535080571693,3248.910127577359,3248.847299823387
39,2015-03-30,3247.254942449141,3247.579804561428,3247.137342201856,3247.4931309840986,3248.593249250916,3248.8370521440856
40,2015-05-13,3247.638897349274,3247.5206235803207,3247.565956581607,3247.433802438313,3248.9463471258323,3248.8242820877963
41,2015-06-23,3247.67137261504,3247.461673768938,3247.611145623316,3247.3731903231856,3248.8303956034547,3248.8119975737773
42,2015-08-04,3247.2616949723456,3247.4255959525753,3247.219835271809,3247.3358195183105,3248.586249298956,3248.8143232894736
43,2015-09-16,3247.5314654616063,3247.410683397875,3247.417788951017,3247.319911216767,3248.977872246415,3248.8304989659855
44,2015-10-28,3247.168455369841,3247.39800901122,3247.0536076041094,3247.3047624327314,3248.733314553554,3248.8496952541564
45,2015-12-09,3247.0883907739653,3247.368866696657,3246.9504040697966,3247.271902471472,3248.78748689997,3248.8544624920974
46,2016-01-23,3247.6965772200524,3247.344783427755,3247.6208462471227,3247.245206536497,3249.0516053367705,3248.8553671994405
47,2016-03-02,3247.5128274272547,3247.360862866597,3247.412151419814,3247.264654598312,3249.0315476950072,3248.8557211369493
48,2016-04-15,3247.33412080526,3247.417425790121,3247.2456107126923,3247.330786369352,3248.833801547356,3248.8642141677233
49,2016-05-19,3246.8197085233564,3247.4709713426078,3246.6614518469,3247.389770107116,3248.643545310042,3248.8741694107393
50,2016-06-25,3247.229054537532,3247.50580637452,3247.140575875572,3247.425694140096,3248.7557107938715,3248.8778132854873
51,2016-08-07,3247.978395075322,3247.5099418415825,3247.985710371954,3247.426181918737,3248.8688118738746,3248.87416860494
52,2016-09-18,3248.360113344994,3247.524976735899,3248.309919114653,3247.4390759785597,3249.165399832897,3248.8814830192127
53,2016-10-30,3247.6207292000613,3247.5222953820953,3247.543828972499,3247.4346575078594,3248.845039141041,3248.890199364774
54,2016-12-12,3247.6142752951228,3247.4667248083606,3247.476593089601,3247.373849767609,3249.0210571376388,3248.882990936454
55,2017-01-23,3247.1136848761766,3247.3517314552428,3247.0035743121457,3247.2472144242925,3248.6796442088626,3248.857049739593
56,2017-03-06,3247.9975126972054,3247.226692678912,3247.916377853436,3247.1100807769744,3249.2113701147323,3248.8328558286084
57,2017-04-19,3246.724443156639,3247.11657043096,3246.6090489177227,3246.9901077889012,3248.5407945090765,3248.823929152002
58,2017-05-29,3246.8150593461737,3247.052901799689,3246.6569458499253,3246.9188318977613,3248.7227198561604,3248.8296085625284
59,2017-07-16,3246.8697552426934,3247.005973084114,3246.7341394342093,3246.864434329092,3248.7347501532554,3248.8416163385564
60,2017-08-22,3247.0932067837944,3247.0173349121324,3246.967393852229,3246.8686353630137,3248.8479322860658,3248.8674897916244
61,2017-10-09,3248.204620240226,3247.0806170418005,3248.161153149685,3246.9243113397715,3249.094945744195,3248.9208387523936
62,2017-11-15,3247.191926428719,3247.143311180562,3246.992597555988,3246.984276066757,3249.0581460831227,3248.964671509041
63,2018-01-02,3247.018402676255,3247.210674030454,3246.8984962651166,3247.0480598281347,3248.7974423641576,3249.0028808223533
64,2018-02-08,3247.3207111834763,3247.246187942415,3247.1152269201025,3247.0833935732603,3249.107262732322,3249.004170652346
65,2018-03-15,3247.8998207276186,3247.2869020731687,3247.7983516565914,3247.1292760690094,3249.382944081279,3248.995641609924
66,2018-04-21,3246.985164353428,3247.346491226805,3246.8555472922344,3247.195792806638,3248.798817960487,3248.9946271416607
67,2018-06-01,3247.3198784673987,3247.410953769668,3247.161154105539,3247.265554507697,3249.051833997405,3248.9993229325105
68,2018-07-09,3246.230042781424,3247.476579989626,3246.055865314283,3247.3353710194865,3248.4808849953333,3249.0059238693166
69,2018-08-17,3247.529191491872,3247.5410666360635,3247.4236818883574,3247.4055862210944,3248.974821588263,3249.003116687652
70,2018-09-24,3247.830596372496,3247.622535408421,3247.694264888004,3247.4913424581982,3249.226896129347,3249.009733168852
