,date,Elevation 1,Elevation 1 sm,Elevation 2,Elevation 2 sm,Elevation 3,Elevation 3 sm
0,2010-07-26,3248.417950391502,3248.4495764434973,3248.3627501515275,3248.4211645878845,3249.0382067100054,3249.0565754463514
1,2010-11-11,3248.3787253398414,3248.248956067907,3248.298585636825,3248.1984168036124,3249.121819467088,3248.971433819444
2,2010-12-18,3247.391988163266,3248.1818607269934,3247.171871440899,3248.125099060979,3248.547530973452,3248.9449478856113
3,2011-02-04,3248.4604145339736,3248.065827504302,3248.382596668908,3247.9946853844617,3249.120515184985,3248.8969512202766
4,2011-03-18,3247.917732500124,3247.9393956463973,3247.794276910241,3247.833616852578,3248.749320425805,3248.845548367753
5,2011-05-01,3247.7359146579824,3247.824975157507,3247.52487453542,3247.670740663045,3248.904948052922,3248.8097888910625
6,2011-06-11,3247.5053794949736,3247.7654700384983,3247.2924553968264,3247.5931998779397,3248.644402711317,3248.7937796494703
7,2011-07-23,3247.6543118979616,3247.7348367944674,3247.5325791912096,3247.5536353325256,3248.663902759444,3248.78885226429
8,2011-09-04,3248.319921241192,3247.6876049381954,3248.2149369755552,3247.4966756451067,3249.074747213947,3248.77674940485
9,2011-10-16,3247.755314677346,3247.63827133207,3247.597703690796,3247.4380555314838,3248.7490929206,3248.769376335693
10,2011-11-27,3247.443891869485,3247.556319868617,3247.185835264094,3247.3420293705644,3248.783171370097,3248.7533308786606
11,2012-01-09,3247.2085929431964,3247.3823061841126,3246.98676726921,3247.1544008430114,3248.5373505134467,3248.6878546019466
12,2012-02-19,3247.53333272507,3247.304991328121,3247.2768104284096,3247.0874473176314,3248.8528318990184,3248.657505263182
13,2012-04-03,3246.7329654170144,3247.383914878054,3246.426548147155,3247.2015731507267,3248.407199944552,3248.6795062198125
14,2012-05-07,3247.120717045804,3247.549777395477,3246.84871604086,3247.3950722510217,3248.602817189528,3248.7273120358627
15,2012-06-13,3247.762228348125,3247.7648739145666,3247.6121255438647,3247.628511745101,3248.952429080513,3248.789101199038
16,2012-07-26,3248.3023346663986,3248.086890488141,3248.242757517652,3247.9860488384356,3248.8319302353502,3248.8709324458846
17,2012-09-06,3248.8838983998708,3248.3467869259125,3248.8987703565704,3248.2785565441864,3249.1510479992776,3248.925117497378
18,2012-10-18,3248.4144591196928,3248.47127871068,3248.396030538602,3248.4263137116773,3248.8152701485224,3248.9322108362103
19,2012-11-30,3248.52972885499,3248.4930775937523,3248.491896430938,3248.461281449747,3248.9680003933954,3248.9173895026656
20,2013-01-15,3248.457861985378,3248.357730095451,3248.4387240460737,3248.3202364837493,3248.8711430335925,3248.8277375150237
21,2013-02-22,3248.4272956004725,3248.221666296947,3248.3734168306646,3248.175476239674,3248.920676915513,3248.738323270941
22,2013-04-06,3247.9436158517706,3248.0890996696667,3247.888072128644,3248.0334914005284,3248.5280719422035,3248.6593586012823
23,2013-05-02,3247.571546591447,3248.012978792917,3247.500940877054,3247.9523367671222,3248.1970475432545,3248.617585406227
24,2013-06-16,3248.1268840451235,3247.9346304598666,3248.037383547822,3247.8656200393048,3248.718186078023,3248.598698129357
25,2013-07-28,3247.814642956861,3247.9202061251117,3247.7657150093737,3247.8391799248557,3248.51046795312,3248.643120780875
26,2013-09-09,3248.093644971914,3247.8946089546057,3248.0028965203137,3247.7994839352864,3248.8984707755862,3248.681458064358
27,2013-10-24,3247.778990646514,3247.895703243058,3247.650181343871,3247.799208449979,3248.684589990793,3248.727373477086
28,2013-12-03,3247.681914353306,3247.920659332166,3247.549037623744,3247.8291696130404,3248.600601072359,3248.775192373397
29,2014-01-29,3248.100953674369,3247.9304745378963,3248.027907309484,3247.851257751945,3248.948136728114,3248.811985260452
30,2014-03-15,3248.1578856144874,3247.953827852709,3248.1537311036955,3247.890303079084,3248.920765593798,3248.852129337096
31,2014-04-25,3247.782949026925,3247.9279598681255,3247.697516140118,3247.8717777343663,3248.8082243969,3248.8576326636326
32,2014-06-08,3248.0006281325864,3247.853691795525,3247.962789910608,3247.790260050589,3248.9420468532617,3248.839106005845
33,2014-07-20,3247.4609371186943,3247.7937916901587,3247.395111558424,3247.719302150345,3248.517643097127,3248.8271834630154
34,2014-08-30,3247.96028914316,3247.7713227135787,3247.8572203286467,3247.6903369555603,3249.048823410853,3248.835817145756
35,2014-10-12,3247.5661949040427,3247.7577943861443,3247.463997776655,3247.6685596074226,3248.6557273049325,3248.859270840249
36,2014-11-23,3247.9473755551653,3247.7290152559563,3247.880297062638,3247.6336135040433,3249.013364198129,3248.879074084007
37,2015-01-04,3247.7346513346038,3247.6636224754807,3247.6224253412133,3247.5671817767607,3248.9217373695324,3248.865631890038
38,2015-02-16,3247.5889691365437,3247.6168140771174,3247.493252061818,3247.5232690004154,3248.910127577359,3248.860879731298
