,date,Elevation 1,Elevation 1 sm,Elevation 2,Elevation 2 sm,Elevation 3,Elevation 3 sm
0,2010-08-01,2100.397466712118,2101.424921946322,2130.887130738453,2131.099036156848,2130.289780475764,2130.5706755710576
1,2010-10-12,2139.1487984992714,2120.8445183440654,2144.0959008852183,2136.5346165885726,2146.4014283378347,2137.24237094496
2,2010-12-09,2142.301559497794,2142.2024876570435,2142.111674017634,2142.1626615469295,2144.2255007913745,2144.238750584214
3,2011-01-30,2138.177795093692,2139.086451649188,2142.150163853159,2141.681719745419,2144.0580706537903,2143.937061073735
4,2011-04-03,2136.7947610819137,2134.4582685074865,2140.4039572806846,2140.2882004174635,2143.3721106596904,2142.35351065532
5,2011-05-22,2127.887578401246,2133.583932728413,2138.175698202149,2140.3351568685853,2139.245638286272,2142.138436636129
6,2011-07-21,2135.800404812056,2135.575457526049,2140.8400663383627,2140.7745362515757,2143.3057448241743,2142.865810136893
7,2011-09-16,2142.3341547647287,2136.2628095348055,2142.830317949587,2141.311308004262,2145.2884929706124,2143.3486082462773
8,2011-11-10,2130.993640885364,2133.913366828422,2140.791941424759,2140.9605214112607,2141.188214085778,2142.1386356416238
9,2012-01-09,2130.357794698872,2132.8230389596088,2139.3760454211365,2140.0509318916193,2140.399192904213,2141.354215983253
10,2012-02-28,2137.6080232775885,2135.2718603024823,2140.1986278790546,2140.0179000441854,2142.707478552449,2142.307902867278
11,2012-04-29,2137.669885836279,2135.582679163405,2140.427140494309,2139.5617970184876,2143.934973370517,2142.617131928759
12,2012-06-28,2129.9538840316827,2132.9362991857506,2137.731544433932,2138.276304210346,2140.4613657808786,2141.464762600444
13,2012-08-18,2132.4164350123065,2130.8348061615484,2137.154925628041,2137.9691022512525,2140.573667386145,2140.730682398689
14,2012-10-17,2129.0171283025998,2133.2828528647387,2139.338878327946,2139.200473959283,2141.303084984276,2141.852212606442
15,2012-12-10,2139.9256828892303,2135.1560148113144,2140.790748111659,2139.9618712172937,2143.8594773801524,2142.25169248203
16,2013-02-06,2135.7190603433737,2137.3005028282814,2139.6633173999844,2139.862387287322,2141.1857997738125,2142.296746374351
17,2013-04-07,2137.6838465941587,2134.2817688300624,2139.271962582109,2138.9145349746154,2142.5824695103447,2141.4400965292843
18,2013-05-26,2129.296562227676,2130.944438426849,2137.871621380946,2138.085758773423,2140.278565917707,2140.814376382017
19,2013-07-26,2126.1655650440725,2130.722404859045,2136.9810458443726,2136.98080042853,2139.635540020668,2141.0059547944115
20,2013-09-07,2142.36212557163,2131.7107878098986,2141.8833670142203,2137.8690865660265,2145.33518622675,2140.8676521505904
21,2013-11-16,2133.966363251686,2135.3338642000563,2139.01304915972,2139.0150935096235,2140.591690309144,2141.637189069143
22,2014-01-14,2135.6794142481576,2136.295795100519,2140.8258091214084,2139.9874421816935,2142.718039091222,2142.1418043871445
23,2014-03-05,2139.2092146712203,2137.6864072243998,2140.094841666263,2140.1919788688465,2142.8340774101307,2142.7809681853173
24,2014-05-05,2137.9259034814604,2138.0434579092116,2139.672965736322,2139.720588659555,2142.8307642524333,2142.978073576942
25,2014-07-04,2137.1033162290496,2135.021058519169,2139.4329112229907,2139.5189760917365,2143.3881825100143,2141.968231292426
26,2014-08-24,2129.263442860686,2134.887421018124,2136.2195485835905,2140.5788297715912,2138.24382130819,2141.9861572781897
27,2014-10-23,2139.0776499959065,2139.0774067898174,2141.9269692405383,2141.9269692405674,2143.3329003427125,2141.3971999664495
28,2014-12-04,2115.0020209074883,2139.7170136139835,2145.406369298794,2141.7827310296516,2140.6596112407587,2142.1889293963395
29,2015-02-12,2142.059921641628,2142.0599216415844,2141.542334011509,2141.5423340114694,2143.619462535081,2142.8160813526815
30,2015-04-14,2134.716401270588,2135.635365416277,2139.878233183904,2140.0184702737474,2143.116675476256,2142.949639942975
31,2015-06-02,2117.1657847618326,2132.8011276079524,2134.654857259038,2139.146366900267,2136.0943609013248,2142.208432919402
32,2015-08-02,2130.34826153269,2130.357327998617,2138.2247546571384,2138.2279175808935,2141.1797275054105,2141.1637360386617
33,2015-09-29,2139.3914206105355,2134.2214972179518,2141.3418074728384,2140.1247487870123,2144.4067622135685,2142.4330837620423
34,2015-11-22,2133.380562267813,2134.5203546878,2140.964535527276,2140.313612969836,2141.7819336252787,2142.1495669614374
35,2016-02-15,2132.6246896266825,2134.926916759426,2138.748075541471,2139.5496063952814,2140.6318778172968,2141.439779065925
36,2016-04-17,2139.74465719472,2136.605604487255,2139.508042557052,2139.0971330308257,2142.28536149732,2141.7243541957982
37,2016-06-05,2137.219320871369,2138.132523725305,2138.8013989566016,2139.2882356707687,2142.188294293327,2142.1660586833277
38,2016-08-05,2137.715068653584,2138.751867574938,2139.776640011418,2139.9092737943834,2141.980543067072,2142.76029817001
39,2016-09-26,2142.015377270922,2135.7812389010987,2141.168703228571,2139.6599856802413,2144.570713820357,2142.174686485976
40,2016-11-24,2128.2436940797143,2134.1176478997595,2138.8561583518267,2139.3102614835957,2140.423961858336,2141.42499484964
41,2017-02-18,2133.1728747079856,2131.39734085393,2138.5750880545547,2138.8566218057813,2140.0090648912133,2140.809984503818
42,2017-04-19,2130.6531434800395,2130.1234323373155,2139.2485382330037,2138.905005096312,2142.4473280236543,2141.099021663597
43,2017-06-07,2140.180202658831,2126.1234399961904,2139.1249313505496,2138.699373000231,2140.982395788257,2141.168872011114
44,2017-08-08,2118.8582167211944,2118.85821672119,2137.396826650248,2137.396826650152,2139.942186760521,2139.9421867604633
45,2017-10-04,2140.086974622061,2111.1079264761706,2141.1053148874344,2132.5934654265666,2144.4515221068887,2132.445153719184
46,2017-11-27,2103.687193820268,2103.6871938202785,2128.042257345008,2128.0422573450837,2125.2804859919297,2125.2804859918024
47,2018-01-26,2128.8055070095943,2125.298308186868,2138.145729279685,2134.208500815129,2138.5401596352426,2136.261734648291
48,2018-03-18,2138.3691653117057,2134.060866231773,2139.3509501195967,2139.119819502144,2142.7130927376797,2141.3869023726993
49,2018-05-18,2135.2266445342384,2135.8170536923703,2139.234494358121,2139.1866412758327,2142.7695130874727,2142.6412921051333
50,2018-07-15,2134.434050229592,2134.467273201813,2138.94954843348,2139.3459111710445,2142.355917182047,2142.0979250817813
51,2018-09-05,2133.823475880261,2134.0990135673183,2139.929530317114,2140.1514239607695,2141.12381166655,2142.301120381798
52,2018-11-04,2134.15192858048,2136.3536123484155,2141.919328575368,2141.1369913427384,2143.961044841245,2143.0935593136846
53,2018-12-29,2141.8289515091483,2139.485773192243,2141.280536891177,2141.621515365965,2143.626421793909,2143.990126259427
54,2019-02-25,2141.822942186923,2140.808499942939,2141.8879615455944,2141.118289817134,2144.5605410265725,2144.0926722777463
55,2019-04-27,2137.9136132914846,2135.044815570356,2139.879930477756,2139.6706278053243,2143.7946320644164,2142.638087300497
56,2019-06-14,2122.423438902025,2131.910640012513,2137.601951111612,2138.2999048434103,2139.681361748353,2141.1334185015166
57,2019-08-14,2129.378527302032,2130.1187094363336,2137.4374343417107,2138.367311086572,2139.89315395896,2140.942888813446
58,2019-10-11,2140.102641246196,2133.985447997094,2141.4206849068737,2139.477073527179,2144.059090879072,2141.958129288887
59,2019-12-04,2132.645041025236,2135.9378673291903,2140.487993190006,2140.6243182702924,2141.622251844349,2142.5472648878026
60,2020-02-01,2137.3241057074783,2136.1253089213938,2140.271213135846,2140.101258060082,2142.5247460489013,2142.083518356309
61,2020-03-24,2137.4564007773206,2137.5482287679692,2139.5267532090074,2139.655178842432,2141.871156657149,2142.2414332229955
62,2020-05-23,2137.95551896102,2137.883707876402,2139.1548989997477,2139.560911672977,2142.5043862746084,2142.5145208212293
63,2020-07-15,2138.1528660437098,2135.1802536338587,2140.4569255899505,2139.7112521541317,2143.0979809828377,2141.9519435571824
64,2020-09-12,2127.891561203196,2129.4564199345414,2136.532948838983,2139.1520526512954,2139.619702255985,2140.637175311866
65,2020-10-25,2124.22008230338,2128.109092216879,2138.426905691973,2138.319187688551,2139.8348539345398,2140.2312186904114
66,2020-12-18,2133.710698259063,2132.3718163309986,2138.8531646701026,2139.2379818154823,2141.6507633484766,2141.470446268934
67,2021-02-01,2137.1329111213868,2137.1329111213845,2140.442830342226,2140.4428303422687,2142.570700984819,2142.570700984623
68,2021-03-15,2158.8015885740588,2137.0125666829745,2149.8759446837385,2141.926518302142,2150.3777846236667,2143.7903100753983
69,2021-05-11,2137.124161142827,2131.9422450836564,2141.0208361739133,2136.957235126951,2145.420494268573,2141.806985189659
70,2021-06-27,2124.300443634611,2126.8741888288696,2135.30245760051,2135.302457600527,2138.5913185698078,2140.0364209767667
