,date,TeS,LeW,Integration,RMSE,Lat,Lon,Elevation,#Samples,Std-Int,Std-LeW,Std-TeS,Std-RMSE,Position,Time Delay,elevation of avg coord
0,07-18-2010,-1521.7627626100602,5.182295991828392,2919379.6839080458,4547.071591211367,72.58260087586206,-38.45031126954025,3249.0862068965516,174.0,368847.29023373936,1.6743403402539152,1149.7449441809315,978.292870257959,2423.1436781609195,0.004893562190270098,3252
1,08-06-2010,-1059.9335012689303,6.6193928994833815,3370267.098360656,4878.616056605511,72.58168529016395,-38.44667862540985,3249.377049180328,122.0,210249.90148260415,2.14020937034496,1584.407896953962,882.5972869378286,924.4016393442623,0.004889448381508183,3252
2,09-13-2010,-1192.6751791791228,6.660785175841945,3420978.0813008132,4712.516678326223,72.58883340406507,-38.554418088617865,3244.6991869918697,123.0,320330.07441261277,2.497856838480582,1104.9707649857698,1060.3104346788027,2407.130081300813,0.004795892005138208,3247
3,10-29-2010,-1551.818013289548,5.766753557910986,3225844.5966386553,4786.16348157967,72.58386911344539,-38.328491481512614,3254.9327731092435,119.0,269464.8139745918,1.939772860354442,825.804628343591,1132.5751045086936,995.2605042016806,0.004877133522277295,3257
4,11-08-2010,-1243.9279276103766,5.5814114929516245,3267311.6694915253,4912.717781233105,72.57201226779658,-38.25554138728814,3257.6186440677966,118.0,240613.57260504158,1.8961650306229332,1238.5633771942112,1096.841936447066,2338.4491525423728,0.004891552166559307,3260
5,11-27-2010,-1082.89843473363,6.376887893383469,3317527.369747899,4734.854796245011,72.57799508235293,-38.598275873949575,3242.7394957983192,119.0,212204.77814353496,2.109995918780174,1594.4796080757667,944.8679615750517,992.9495798319327,0.004875686014949572,3245
6,12-07-2010,-1166.145328543484,8.238781704232801,3639301.243697479,4783.1762636533595,72.58716547478988,-38.520308128571436,3246.0504201680674,119.0,194628.0161140066,2.043105666026006,1215.6496211145736,945.2479679342008,2342.5882352941176,0.004821741515235286,3249
7,12-25-2010,-1110.495141722012,7.73460080442393,3476399.351190476,4700.647957228978,72.58232233928568,-38.44672045773808,3248.714285714286,168.0,202970.54986088016,2.2385741382392643,1408.7789944076994,1011.2125413514445,914.1011904761905,0.00480319093457737,3252
8,01-22-2011,-1241.080382815371,5.912398528315503,3361893.974789916,4947.783492078272,72.59265757647054,-38.26170617226891,3257.6890756302523,119.0,193075.55865912515,2.1142942994005742,1547.3609513643012,971.3060792546695,944.6386554621848,0.0048196969086890685,3260
9,02-02-2011,-1227.9328700828448,5.696883335620548,3402233.955882353,4691.298010441489,72.57935007279413,-38.35133974999999,3253.4117647058824,136.0,186266.75019344612,2.0103095664380315,1578.854779297332,1157.156706127923,2402.3161764705883,0.004875860226022045,3257
10,02-20-2011,-1413.9889066237786,4.809932348246466,3124598.2195121953,4783.868469503578,72.57880597886177,-38.55982385203252,3244.1869918699185,123.0,190406.4909177178,1.2423429255255518,904.8283742654162,1036.7516850105737,1071.4552845528456,0.004889967026162594,3247
11,03-02-2011,-1225.6784604671548,5.962122508471832,3381672.832,4946.566501569095,72.584172376,-38.431928774400006,3249.696,125.0,205940.74154571496,2.2030439261679335,1681.4327304024764,1018.9002467863163,2392.472,0.004878892225663987,3252
12,03-20-2011,-1209.2152837948877,5.8636861902355335,3262363.910714286,4706.239860529148,72.58214800238092,-38.44675651845239,3248.6190476190477,168.0,188099.56862219068,1.8432840077529598,1079.1596760097593,941.2121889448656,1193.6607142857142,0.00485704983331546,3252
13,03-31-2011,-1290.9374617058738,8.087597975091168,3601501.690265487,4891.240345724109,72.59113638849554,-38.680302188495574,3239.3982300884954,113.0,236129.5804975855,2.3278799751297363,1523.2372093554745,1282.5144462512612,2387.1238938053098,0.0048044433638318495,3242
14,04-17-2011,-1374.7590579320918,7.447968878440389,3537142.8636363638,4845.66126530275,72.59393446363636,-38.22410613727273,3259.1545454545453,110.0,181616.21382159,2.1423251154834313,1676.1143343453452,884.8325212243469,921.790909090909,0.004795553310636349,3261
15,04-28-2011,-1151.1910617794279,8.197450023435522,3533374.734939759,4686.878074903502,72.58312826445791,-38.436748586746994,3249.6807228915663,166.0,234249.70610055412,2.177504079037133,2104.9403081995083,1125.2828232785255,2400.734939759036,0.004819594224506013,3252
16,05-16-2011,-1193.213244468425,7.479066047796925,3464264.050420168,4630.673795166235,72.5838608840336,-38.48635910840336,3247.621848739496,119.0,184205.30697552278,2.3736211528304447,1568.8629669730233,1033.7266733477875,965.0504201680673,0.004841779754184862,3250
17,05-26-2011,-1388.4516211872287,7.003348404104577,3475448.631147541,4802.601159968474,72.57695353688527,-38.35608708442623,3253.0819672131147,122.0,213542.49119168404,2.0825807131922858,930.5027516858917,938.8629406963584,2375.655737704918,0.004889144313688515,3257
18,06-14-2011,-1273.3666195443056,7.831286259814539,3542318.9929577466,4731.277745979643,72.58354444507044,-38.51342206690143,3245.4859154929577,142.0,180683.22265277267,2.2100816437108013,2315.142946321307,936.6848665892485,1010.9577464788732,0.004892736996915483,3249
19,06-23-2011,-1233.0715185991298,8.097073084371264,3622497.2678571427,4847.912183559434,72.59302979107144,-38.64024650624999,3240.8928571428573,112.0,208415.09512305682,1.9189736672036466,1644.4894173632485,1117.0374879615918,2352.7410714285716,0.00485876501556249,3244
20,07-17-2011,-1428.5322231135312,7.251172068495673,3419053.6315789474,4630.839387695335,72.58405390866868,-38.42843650959756,3250.092879256966,323.0,253646.5821787475,2.276714799342152,1601.4836121129042,983.4229766924544,1675.3653250773993,0.004814748426832806,3253
