,date,TeS,LeW,Integration,RMSE,Lat,Lon,Elevation,#Samples,Std-Int,Std-LeW,Std-TeS,Std-RMSE,Position,Time Delay,elevation of avg coord
13,08-28-2011,-1314.3576608664694,6.462936516442736,3371852.3971428573,4705.415371344772,77.45077303599999,-51.14968155228576,2473.2257142857143,350.0,281348.0567094888,1.7840815430486119,1591.3151642163418,947.431698157379,2286.3685714285716,0.004863510692999987,2478
14,09-27-2011,-1386.7011406128984,5.84767651523585,3245799.9703264097,4743.77141446369,77.4529372685459,-51.00189535163206,2479.4985163204747,337.0,263274.9842631822,1.9034680346376978,845.3166932885446,846.6589049540726,2227.06528189911,0.004900795861038565,2483
15,10-24-2011,-1371.6473683841814,7.178338466516821,3415166.4585365853,4755.010484650231,77.44737683146343,-51.056899356829256,2477.79756097561,410.0,250429.6070531627,2.1487016376186996,925.8699039396814,885.677580479751,2149.6365853658535,0.00483492773015853,2481
16,11-22-2011,-1315.8155049763536,6.745079138393928,3338055.659517426,4704.8306990121,77.4474502005362,-51.14076573726538,2473.8552278820375,373.0,303048.51947031496,2.0454973915245387,1555.550281382638,875.2689466079289,2263.5254691689006,0.00481262053968899,2478
17,12-20-2011,-1354.7517180526045,7.467476262353096,3418004.7453580904,4674.893516500062,77.4574758161804,-51.05986207506633,2476.8275862068967,377.0,261628.623047646,2.258242745056015,846.7358391289799,844.2693526845046,2002.5570291777187,0.004881582574538454,2481
18,01-18-2012,-1292.7534696567814,6.934537554843415,3416831.406862745,4745.648392822328,77.44823811764702,-51.020780235049045,2479.4803921568628,408.0,245309.3165168453,1.9748867390359761,981.1273292236094,802.4931459971117,2160.218137254902,0.004889130231350479,2483
19,02-15-2012,-1387.756235877982,7.043734834954016,3375398.128395062,4734.504923623311,77.44827544024689,-51.15158481037041,2473.251851851852,405.0,251832.17338048347,2.1065554096355283,1302.3222107324755,923.6104967834924,2160.4,0.004817304967928385,2478
20,03-14-2012,-1382.8262401787708,7.383727637437904,3426473.0628571426,4712.472787395725,77.45724110942851,-51.069331719714306,2476.5885714285714,350.0,253511.5598746122,2.1180424300096417,1161.8429439445606,1033.3385031854068,1688.1771428571428,0.004826812246522844,2480
21,04-11-2012,-1408.931974433481,7.398813093461694,3438651.074074074,4752.424008838272,77.44927897283952,-50.96721832962965,2481.8543209876543,405.0,256861.6751767348,1.812106687377252,2030.01730582346,961.9108179959259,2079.311111111111,0.004894272180632087,2484
22,05-10-2012,-1254.782419938625,7.657303624080703,3538859.399521531,4733.482997683082,77.44796774425835,-51.11906440717706,2474.732057416268,418.0,239423.1373035891,1.8833248279564503,1526.2983159217265,880.5764898997953,2175.1698564593303,0.0048701432206937735,2479
