,date,Elevation 1,Elevation 2,Elevation 3,EV1 SE,EV2 SE,EV3 SE,EV1 c0,EV1 c1,EV1 c2,EV1 c0 SE,EV1 c1 SE,EV1 c2 SE,EV2 c0,EV2 c1,EV2 c2,EV2 c0 SE,EV2 c1 SE,EV2 c2 SE,EV3 c0,EV3 c1,EV3 c2,EV3 c0 SE,EV3 c1 SE,EV3 c2 SE,EV1 r2,EV2 r2,EV3 r2,EV1 pv,EV2 pv,EV3 pv,Proj_x,Proj_y,#Samples
0,08-01-2010,2100.397466712118,2130.887130738453,2130.289780475764,750.3575418450861,249.5841771687229,363.2805665038221,-515.7988785878233,-0.001747704761423316,-0.0009747094576842111,522.1704170416473,0.0009456546250020007,0.00020775741334888456,-1939.7207011078463,0.0031040534427573697,-0.0016471906204524275,173.6844992038403,0.0003145439584528741,6.91043404906415e-05,-1649.5529415901692,0.002902642062898187,-0.0015299867463374594,252.80530192044068,0.000457832338224983,0.00010058435693358227,0.11344274328183024,0.7003279376554075,0.4865354506587337,1.5406500482346736e-07,5.22780116422698e-65,1.7772658683372075e-36,-60270.139473685,-2580734.6102880873,247.0
1,10-12-2010,2139.1487984992714,2144.0959008852183,2146.4014283378347,258.93404956098647,81.65474607837054,110.70405019426701,-2893.359255033048,0.004809946771989307,-0.0020582383713956924,182.8076878512937,0.000123025093008296,7.101548381796855e-05,-2612.610488020869,0.004422904559317937,-0.0019426699899263127,57.64832920961846,3.879591250317313e-05,2.2394703626735964e-05,-2504.6609920706105,0.004510544417594303,-0.0019036932787117261,78.1571658346964,5.2597856846698755e-05,3.036179173223369e-05,0.8319100351823447,0.9772138472372836,0.9593604819803424,3.7420871260417195e-171,0.0,1.701759670001283e-306,-51732.67927140649,-2580584.6663945457,442.0
2,12-09-2010,2142.301559497794,2142.111674017634,2144.2255007913745,115.12852537718885,104.64008365260048,115.05350304694498,-2129.3882111786224,0.00451728966217846,-0.0017568183091414141,81.40072009883929,2.0009035324782698e-05,3.1549508413371216e-05,-2195.790666661076,0.004488901255382129,-0.001781842321343964,73.98494971266385,1.8186171701005276e-05,2.8675284329036517e-05,-1947.0509365817306,0.004526347756438174,-0.0016871021040774283,81.34767614917229,1.9995996640832922e-05,3.152894949774657e-05,0.9950166347701842,0.9958364290173605,0.9950225417803672,3.083871404015294e-306,1.40145e-316,2.6353982356732282e-306,-53068.143117189575,-2580948.149411712,268.0
3,01-30-2011,2138.177795093692,2142.150163853159,2144.0580706537903,257.2212473069082,61.88978412331623,110.81919839790098,-2800.6991307265307,0.004008862107661052,-0.002003983606153472,181.15840611960084,0.00012280545366690604,7.071493576142596e-05,-2523.462242198908,0.0046123565461892516,-0.0019116157353692436,43.588369017931555,2.9548115080641725e-05,1.7014660158874394e-05,-2645.54062447274,0.004518491363776729,-0.0019575614009758814,78.0488764416173,5.2908544985084495e-05,3.0466272043576318e-05,0.7827168609914691,0.9863387542222295,0.9569272295375827,2.2556177520643972e-142,0.0,4.486623601889034e-292,-59136.3388421846,-2581777.64659521,429.0
4,04-03-2011,2136.7947610819137,2140.4039572806846,2143.3721106596904,385.7043269945686,91.39913252890761,137.44920130929665,-2539.3018739563295,0.004584607929048125,-0.0019150565216456653,272.6944373642969,9.973612178014275e-05,0.00010569011424874435,-2153.1825006670156,0.004600183385573121,-0.0017671636573098146,64.61953697736516,2.3634152832905356e-05,2.5045051567058005e-05,-2016.7530105898632,0.004581786445458152,-0.0017150279444196463,97.17711208808512,3.554186282323042e-05,3.76636215179997e-05,0.8745723385566574,0.9919067541533385,0.9816336406669873,3.881513720142145e-157,0.0,1.7496379734594892e-301,-51549.77523527057,-2580034.977207272,349.0
5,05-22-2011,2127.887578401246,2138.175698202149,2139.245638286272,444.1221627032676,120.96907197083897,167.6701546947168,-2119.172465693031,0.004052668388300724,-0.0017368518123080017,313.9559469622661,0.00016626584841178052,0.00012168334926762611,-2397.5055692322258,0.004491656111962848,-0.0018585535386060484,85.5146685600697,4.528714635719597e-05,3.314385786471786e-05,-2514.567640352934,0.004300708363867771,-0.0019000528597900713,118.52829382365378,6.277061327893618e-05,4.5939310642116754e-05,0.6711683154482788,0.9708466561636677,0.9425837962678041,6.192118944797923e-93,7.205026902165297e-293,6.072877373512157e-237,-66487.28620906657,-2580657.6679256307,383.0
6,07-21-2011,2135.8004048120556,2140.8400663383627,2143.3057448241743,372.06862876574854,134.8917672832108,150.0594129673279,-3550.4379464369304,0.004415118504732056,-0.0023027364241483975,262.7178057812834,0.00019076455470093607,0.00010201689395910488,-2722.3757684829816,0.004438580119279557,-0.0019842994305384297,95.24713017639667,6.916081047726554e-05,3.6985754925206385e-05,-2954.057530943671,0.004696765685031221,-0.0020808344850135364,105.95701078691168,7.69374649734818e-05,4.114454709884071e-05,0.6758686171448639,0.9333397050575376,0.9263426143577094,1.1322174828016104e-114,5.056341328041158e-274,5.7652806728546765e-264,-54282.000700771794,-2580679.6192234885,467.0
7,09-16-2011,2142.3341547647287,2142.830317949587,2145.2884929706124,200.1130014920424,81.22197356936432,93.84458308269203,-2804.1537666136455,0.004564699342931244,-0.002019400404226686,141.5043677316483,3.731108749100306e-05,5.4831369199564927e-05,-2663.34140147357,0.004540176564945931,-0.001964470681776037,57.4338695145032,1.514384442511597e-05,2.2254985866454137e-05,-2615.1894748251325,0.0045714127109289775,-0.001947462632168779,66.35959830268467,1.7497331127154493e-05,2.5713606532411887e-05,0.9775321426289529,0.9961736542426408,0.9949551727811576,2.036538869359053e-309,0.0,0.0,-57852.65748043787,-2580242.880296939,377.0
8,11-10-2011,2130.9936408853637,2140.791941424759,2141.188214085778,346.97603808207947,84.24668450681665,140.86406483840028,-3388.7777968911823,0.003682623242763775,-0.0022217925006577386,245.01740401787254,0.0001567356837049363,9.514875758740166e-05,-2896.1729993528725,0.004458943312291604,-0.002052092812051913,59.49086296872742,3.8055831662145984e-05,2.31023658175069e-05,-2917.5338613784425,0.004332046245652638,-0.0020576785748453556,99.47127091798069,6.363098049635446e-05,3.862814513696879e-05,0.6965664256661217,0.9784676028734633,0.9401008938344896,6.978749730274973e-116,0.0,5.8249020100762925e-272,-62454.34811136992,-2580445.9279746246,446.0
9,01-09-2012,2130.3577946988717,2139.3760454211365,2140.399192904213,470.2452405924026,149.0711742540535,223.0611576231012,-3345.5607029187922,0.004963487944837076,-0.0022335263977830153,332.5701708397382,0.00016224640975310496,0.00012879265771734768,-2670.921038965071,0.004590731673036684,-0.0019672033968062457,105.42717205706457,5.1433296358152307e-05,4.082821273648334e-05,-2527.06526729669,0.0046162348906713035,-0.0019124204901773297,157.75489233015972,7.696169754770361e-05,6.109288695319027e-05,0.7512621750682255,0.9617683537875963,0.9179541329692373,2.464366685188372e-125,1.7975666626060984e-292,2.5433869964489274e-224,-50839.46578748225,-2580642.4691085233,414.0
