,date,Elevation 1,Elevation 2,Elevation 3,EV1 SE,EV2 SE,EV3 SE,EV1 c0,EV1 c1,EV1 c2,EV1 c0 SE,EV1 c1 SE,EV1 c2 SE,EV2 c0,EV2 c1,EV2 c2,EV2 c0 SE,EV2 c1 SE,EV2 c2 SE,EV3 c0,EV3 c1,EV3 c2,EV3 c0 SE,EV3 c1 SE,EV3 c2 SE,EV1 r2,EV2 r2,EV3 r2,EV1 pv,EV2 pv,EV3 pv,Proj_x,Proj_y,#Samples
0,07-26-2010,3248.417950391502,3248.3627501515275,3249.0382067100054,22.866713263453352,22.746310474724226,23.76112838867843,2986.7851294722495,0.0012661844511417568,6.833634658925166e-06,16.057606590158457,7.3627637424248286e-06,8.579648336249732e-06,2984.718022436874,0.0012675107998318562,5.920507976218785e-06,15.973056589837237,7.3239957184798006e-06,8.5344729070528e-06,2987.183890589089,0.0012596430237877424,5.965255854531275e-06,16.68568838064935,7.650752977205177e-06,8.915235141080074e-06,0.9898414813407612,0.9899695872020056,0.9889288680150612,4.126461342138694e-307,5.882349982454787e-308,2.2417665337385504e-301,217224.83294295703,-1888174.7826485746,310.0
1,09-13-2010,3277.249123596048,3277.339471938617,3278.4948190866653,441.47844562926497,442.00303222927573,467.4030097297749,265.1289396301727,0.011962432135797174,-0.00022156404158634943,337.82340609003603,0.0012734620214357342,3.567711476307257e-05,257.0039686858072,0.012063018109329526,-0.00021436526424373908,338.2248246275871,0.0012749752122125017,3.571950808151664e-05,186.80026159476256,0.012109372415553876,-0.0002468315036074642,357.66112327088405,0.0013482424509926496,3.7772151695800266e-05,0.5933651641863869,0.6195407419429082,0.5126472889397764,2.187029905182665e-25,3.534080149380061e-27,1.642330787040108e-20,214116.96077290847,-1888421.4938443752,127.0
2,11-11-2010,3248.3787253398414,3248.2985856368255,3249.1218194670873,22.66312295841967,22.673560022795556,22.002096513381694,2958.8196188327047,0.001286284625058056,-5.647006042098579e-06,15.43543564570477,1.7397255884494342e-05,8.557463712845115e-06,2952.7541354924106,0.001288385722890755,-8.57533420608428e-06,15.44254413802508,1.74052678553054e-05,8.561404687786174e-06,2973.2815490892926,0.0012665173487260697,-6.517844552988462e-07,14.985222708537519,1.688982157229286e-05,8.307863963197993e-06,0.9423959322559662,0.9426790000263077,0.9436524362734151,3.092156454528186e-229,1.2491451403045212e-229,5.344508758211688e-231,219401.85372570614,-1888400.7398875249,371.0
3,12-18-2010,3247.391988163266,3247.171871440899,3248.547530973452,26.158211771476722,25.68477863011629,26.39141749936362,3008.2242311791924,0.0012599101596378211,1.800973534267069e-05,18.680653108754925,9.072241377369024e-06,9.640480630360924e-06,3007.101017768211,0.0012596554910535634,1.750225396466784e-05,18.342555062863806,8.908044383629898e-06,9.465999168519066e-06,3028.7955246058136,0.0012466627995582418,2.6770407821141186e-05,18.847194894703005,9.153122236980458e-06,9.726427457392666e-06,0.9850270258246128,0.9855484533675326,0.9844853073924531,1.636648305051308e-278,7.483518434927507e-281,3.6315375069155255e-276,216167.79783012325,-1888307.40633309,307.0
4,02-04-2011,3248.4604145339736,3248.3825966689074,3249.120515184985,21.705711211830682,21.75969925187213,22.02421395572415,2953.825745173047,0.0012669262060797835,-1.0557529247052014e-05,15.181120658438703,8.875815162483974e-06,8.151860675365694e-06,2950.4873861692704,0.0012676581641712955,-1.2200125675848605e-05,15.218880257374817,8.897891742224494e-06,8.172136582303683e-06,2969.0917481576053,0.001264817428060897,-3.065013000185142e-06,15.4038836233516,9.006056068020466e-06,8.271478501642038e-06,0.9810331643832073,0.9809715211734076,0.9803758714230761,0.0,0.0,0.0,218604.13568102295,-1888091.281749749,408.0
5,03-18-2011,3247.917732500124,3247.7942769102415,3248.749320425805,22.61438419745546,22.411955573753986,22.483423620746844,3040.502728919948,0.0012508414317813003,3.3783332838771205e-05,16.1357877099556,9.019966309660597e-06,8.326364881410925e-06,3040.1775474133883,0.0012529089086825416,3.391389469355015e-05,15.991351086347121,8.939225691213702e-06,8.251832912348068e-06,3043.604974314854,0.0012391439787849462,3.3642675558350973e-05,16.042344879689132,8.967731414405818e-06,8.27814665281646e-06,0.9790272125405097,0.9794603669946663,0.978880500496936,0.0,0.0,0.0,215310.1899159782,-1888344.7423587395,427.0
6,05-01-2011,3247.7359146579824,3247.5248745354197,3248.904948052922,21.107432490145392,21.185591564306794,20.49870103789527,2941.7260153521056,0.0012763926335725134,-1.5494420017610547e-05,14.798004839456784,7.549545962078583e-06,7.923251687530662e-06,2942.9885731352497,0.0012782945537988186,-1.4495689286611949e-05,14.852800625643848,7.577501305439766e-06,7.952590832238778e-06,2951.529662427807,0.0012683037048701617,-1.1850675475731653e-05,14.37123521787763,7.33181952474563e-06,7.694747699253282e-06,0.9857939460121524,0.9857285328144905,0.9864100229557986,0.0,0.0,0.0,218926.52063511644,-1887674.149746971,424.0
7,06-11-2011,3247.5053794949736,3247.2924553968264,3248.6444027113175,21.650747288370603,21.853187958268087,21.097642982230685,3047.2599287601424,0.0012263670798895994,3.4769876196198094e-05,15.40795172255796,1.0328798894699248e-05,7.966863045596406e-06,3046.685314557717,0.001227900975001708,3.475446233551483e-05,15.552020471175155,1.0425376113934652e-05,8.041355490150425e-06,3047.236532896455,0.0012160505849563201,3.2969773273476815e-05,15.014329999804753,1.006493256852491e-05,7.763336294382915e-06,0.9729027560766005,0.9724742166092297,0.9737966453077076,3.1800377262e-312,7.1634767698134e-311,4.079806517e-315,215486.74276108693,-1888569.098274692,400.0
8,07-23-2011,3247.6543118979616,3247.5325791912096,3248.6639027594438,18.010579376302466,17.942469775158695,18.551636591915738,2976.794787358691,0.0012884857750456715,4.508208047847035e-06,12.743437078344426,5.194398301577505e-06,6.713412811442759e-06,2980.7981990472645,0.0012912917882559462,7.0148892190114234e-06,12.695245934768625,5.174754935913887e-06,6.688025073527872e-06,2958.849332736261,0.0012800946384521096,-6.493020658923567e-06,13.126263662592129,5.350443624890964e-06,6.91509096777131e-06,0.9922934839986577,0.9923845873824273,0.9917191585950335,0.0,0.0,0.0,217657.531324062,-1888182.6220569913,479.0
9,09-04-2011,3248.319921241192,3248.2149369755552,3249.074747213947,22.85440437192043,23.20718632747946,22.514209638746863,3021.4651817124104,0.0012755120030385526,2.6321568339331483e-05,16.007691790766845,1.7045206615305763e-05,8.413425491328274e-06,3017.340054229173,0.0012870310979607824,2.5515295654470783e-05,16.25478748059682,1.730831744614602e-05,8.543295631432545e-06,3037.857967728595,0.0012318554754481787,2.959011739818657e-05,15.769412448681893,1.6791483550726284e-05,8.288189103911645e-06,0.9382618601703884,0.9375328052717751,0.9358911454291493,4.299908350776431e-223,3.707039152995134e-222,4.328533670474314e-220,215669.95301567754,-1888931.6733077343,370.0
