,date,EV1 Pred,EV2 Pred,EV3 Pred,EV1 Conf,EV2 Conf,EV3 Conf,Elevation 1,Elevation 2,Elevation 3,EV1 c0,EV1 c1,EV1 c2,EV1 c0 SE,EV1 c1 SE,EV1 c2 SE,EV2 c0,EV2 c1,EV2 c2,EV2 c0 SE,EV2 c1 SE,EV2 c2 SE,EV3 c0,EV3 c1,EV3 c2,EV3 c0 SE,EV3 c1 SE,EV3 c2 SE,EV1 r2,EV2 r2,EV3 r2,EV1 pv,EV2 pv,EV3 pv,Proj_x,Proj_y,#Samples
0,08-01-2010,2524.33456212321,2524.2770331874317,2525.311580169323,0.1850459392135151,0.16639415981599032,0.21357534716213558,2524.33456212321,2524.2770331874317,2525.311580169323,614.842016744567,-0.0015918682054936882,-0.0015608872374794024,10.780720932569919,1.1440733704093755e-05,7.925493876367804e-06,610.3710117145115,-0.001568236782329435,-0.0015621055879133441,9.694073857575662,1.0287560378014704e-05,7.126640553616319e-06,611.8189397090982,-0.0016053325530885013,-0.0015650432852387772,12.442835685103335,1.3204605748302906e-05,9.147404764834143e-06,0.9948710512520721,0.9958114273537433,0.9932415037443131,0.0,0.0,0.0,113712.67646610322,-1343495.0663761199,313.0
1,10-02-2010,2525.0148143828633,2524.9331326605466,2525.855658067074,0.12989467465958196,0.12216105953423022,0.15448056906216212,2525.0148143828637,2524.9331326605466,2525.8556580670743,550.9982493569919,-0.0015313983865152044,-0.0016036349334725983,8.559427106477186,7.284201199537754e-06,6.316324549054718e-06,557.5483128637495,-0.0015359534385994966,-0.0015990961159036065,8.04981949470874,6.850517457534947e-06,5.940265844592783e-06,539.290063513514,-0.0015198218006866671,-0.001611964863407628,10.179517934206197,8.662922859749515e-06,7.511850761216686e-06,0.9952522827584728,0.995794777900358,0.9932977672083125,0.0,0.0,0.0,115775.20108453369,-1342820.1804201745,542.0
2,11-11-2010,2525.278242858591,2525.275146000374,2525.9020317053355,0.10841226252051699,0.10306161729114102,0.13170581808974655,2525.278242858591,2525.275146000374,2525.9020317053355,552.8954531523423,-0.0015993988981097124,-0.0016083678619544857,7.390160680385234,5.675022336211969e-06,5.488464926129808e-06,557.4490353728334,-0.0015981536291345818,-0.00160486646837924,7.025422162172301,5.394933806712316e-06,5.2175838653521294e-06,562.9558225646306,-0.001586585533428885,-0.001600221305471738,8.978017205765788,6.894362704839088e-06,6.667721402975887e-06,0.9964303200064686,0.9967631737644044,0.9946720078539708,0.0,0.0,0.0,117374.58726125142,-1343099.346710161,583.0
3,12-28-2010,2524.886950542432,2524.8733161817263,2525.479828804182,0.12727980734918803,0.1233380216544086,0.14861241656213162,2524.886950542432,2524.873316181726,2525.479828804182,566.3584004286242,-0.001615840702799945,-0.0015994918548849451,8.773629758067003,6.451963200201211e-06,6.5059509832035545e-06,568.0493177645783,-0.00161678815644876,-0.0015983057079433797,8.501915265447588,6.2521494451553115e-06,6.304465256183611e-06,573.1957907004958,-0.0016024921746501301,-0.0015936749720625062,10.244125502098186,7.5333382625370964e-06,7.596374615780467e-06,0.9952794542044514,0.9955654646916136,0.9934983201561403,0.0,0.0,0.0,118245.45736009142,-1342839.793395069,588.0
4,02-04-2011,2525.4386488051587,2525.33990865593,2526.213135313126,0.09983928350391494,0.09307932389822018,0.12626990537253427,2525.4386488051587,2525.33990865593,2526.213135313126,542.7622798963249,-0.0015603175895761768,-0.0016126122581463652,6.71175612574045,5.595082127511781e-06,5.003219613354333e-06,544.6899335320477,-0.0015597809290289308,-0.0016110566566673171,6.257313758957715,5.2162479868285595e-06,4.664459545194719e-06,544.6659408764492,-0.0015621303794352628,-0.0016119301865411611,8.488570642122305,7.076277653431587e-06,6.32773037791577e-06,0.9967314562886807,0.9971538945393664,0.9947845793072977,0.0,0.0,0.0,117557.91767333508,-1343243.7348747163,562.0
5,03-13-2011,2524.6588085666276,2524.5613919273114,2525.624944300697,0.1502356606513882,0.14064118975389922,0.18573989207809785,2524.658808566628,2524.561391927312,2525.624944300697,565.6651165342748,-0.0015448535988694784,-0.001593627586099221,10.191064521588068,7.752815938391379e-06,7.498273077779198e-06,565.832483729713,-0.0015466826457844098,-0.0015935904754576587,9.54023454190697,7.2576993557256585e-06,7.0194123165195e-06,573.2677375997862,-0.0015425931582113482,-0.0015884889611736655,12.59945352648247,9.584989272535108e-06,9.270291928014585e-06,0.9961985605181839,0.9966706551881698,0.9941733734062403,0.0,0.0,0.0,119857.87270420842,-1343219.5113943561,354.0
6,04-22-2011,2525.115434282492,2525.009886556812,2525.997427123729,0.11011616869791084,0.10280321099014553,0.12212094528509555,2525.115434282492,2525.009886556812,2525.997427123729,551.9031886890734,-0.0015691697025472092,-0.0016063406797762947,7.524493889800185,5.660717576654106e-06,5.566789484565873e-06,548.8216699769187,-0.0015594558640938136,-0.0016077064388326954,7.024782482845644,5.284781974070045e-06,5.197091768507787e-06,566.0509983402653,-0.0015957075642844473,-0.001598786043887795,8.344808191922933,6.277844476670806e-06,6.173676419152404e-06,0.996397375250252,0.9968426622975697,0.9956228491464232,0.0,0.0,0.0,116996.47366535044,-1343171.2484635548,596.0
7,05-31-2011,2524.1732014166428,2523.999127618982,2525.217345963228,0.10610707176186976,0.09756430125757733,0.12188143382498497,2524.1732014166428,2523.9991276189826,2525.2173459632286,579.6226516098645,-0.0015829673100723049,-0.0015862091872746989,7.354825501952763,5.359527610687299e-06,5.456383383869402e-06,576.4063521298528,-0.0015771659191636562,-0.0015879665677456488,6.762682251566509,4.928027488885003e-06,5.017085321472119e-06,589.2987353348051,-0.0015915755347346602,-0.001580535832364983,8.448227463311982,6.156299471546332e-06,6.2675542664779195e-06,0.996534414910347,0.997060726707076,0.9954416335509849,0.0,0.0,0.0,116946.74177205443,-1343040.8010019686,598.0
8,07-15-2011,2524.7226652750164,2524.5757434252123,2525.807457793281,0.12202093040113213,0.11355893250808405,0.13353039743121684,2524.722665275016,2524.575743425212,2525.807457793281,548.7859594885558,-0.001567438439467155,-0.0016082175739485201,8.368738677381188,6.2269582543765835e-06,6.197785174532001e-06,549.2408163594973,-0.0015614001228835168,-0.0016072412655642083,7.788377186750297,5.795126539476243e-06,5.767976575988568e-06,556.8250574533179,-0.0015844396155541077,-0.0016045275051176564,9.158109169568485,6.81430806795986e-06,6.782383274949974e-06,0.9955284708790644,0.9961079587115407,0.9946932328439834,0.0,0.0,0.0,117536.44086723603,-1343093.1373908997,598.0
9,08-23-2011,2524.6489137313374,2524.5790095938482,2525.43313183843,0.1190998657226851,0.11071489288108147,0.1298780858449246,2524.6489137313374,2524.5790095938482,2525.43313183843,581.3681303507437,-0.0016065931644854603,-0.0015873308408532619,8.302360671301436,5.9637966140967915e-06,6.15235470451464e-06,578.3511449605662,-0.0016054402823267558,-0.0015894240781334002,7.7178506189476135,5.543928192434156e-06,5.719211251368146e-06,598.9644164887172,-0.0016174146165933768,-0.001575761013970715,9.053702163661608,6.5035042979194e-06,6.709126392499444e-06,0.9957658703495431,0.9963408540373133,0.9949693137358291,0.0,0.0,0.0,117614.7271949987,-1343007.355297598,601.0
