,date,EV1 Pred,EV2 Pred,EV3 Pred,EV1 Conf,EV2 Conf,EV3 Conf,Elevation 1,Elevation 2,Elevation 3,EV1 c0,EV1 c1,EV1 c2,EV1 c0 SE,EV1 c1 SE,EV1 c2 SE,EV2 c0,EV2 c1,EV2 c2,EV2 c0 SE,EV2 c1 SE,EV2 c2 SE,EV3 c0,EV3 c1,EV3 c2,EV3 c0 SE,EV3 c1 SE,EV3 c2 SE,EV1 r2,EV2 r2,EV3 r2,EV1 pv,EV2 pv,EV3 pv,Proj_x,Proj_y,#Samples
0,07-24-2010,2574.3604731799696,2574.1691699655717,2575.716251038811,0.12078603253205687,0.12002679927867559,0.12989994937847307,2574.3604731799696,2574.169169965571,2575.716251038811,1823.023480934452,0.0018057742685121468,-0.0006776627587656001,8.658490561247614,5.9911758878241146e-06,6.2187736645598784e-06,1825.871045958681,0.001808640428036684,-0.0006756901063495334,8.604065278639444,5.953516732507891e-06,6.1796838819036806e-06,1821.5907448457483,0.0018025541123079932,-0.0006794283179987937,9.311817451283753,6.443240399850056e-06,6.6880115795712584e-06,0.9957467798578381,0.9958087075848079,0.9950715557336732,0.0,0.0,0.0,-104572.04052072128,-1387831.482822673,442.0
1,09-19-2010,2576.035066501609,2576.0348519317463,2576.536644159827,0.21126074536455752,0.21344960827004583,0.20750036494767607,2576.035066501609,2576.0348519317467,2576.536644159827,1812.4476574217674,0.0016937330066890445,-0.0006780241691497495,13.583721429612497,2.160846797929505e-05,9.946221126789337e-06,1815.7036550879798,0.0016999596226964621,-0.000676148794936644,13.724461745151093,2.183235232626655e-05,1.0049273468303742e-05,1808.0173687708252,0.0016819829687280416,-0.0006806894225224844,13.341935100785982,2.1223843473311778e-05,9.769181255616733e-06,0.9718372302132192,0.9713233573219835,0.9726767449406043,8.404086322956023e-206,9.142786034276447e-205,1.5474758986920477e-207,-105357.18262977134,-1387666.8765642573,267.0
2,11-09-2010,2576.5212457620214,2576.335738007935,2577.436639966247,0.12386080685366153,0.12092422775826692,0.1296083902112551,2576.5212457620214,2576.335738007935,2577.436639966247,1906.1013217132954,0.0019341997512119118,-0.0006290724103257038,8.232633745185574,6.6400804378256626e-06,5.900904817826347e-06,1903.1504221235293,0.0019291869808162276,-0.0006306858979300451,8.037448675997542,6.4826527421712765e-06,5.7610020174846e-06,1911.2881597340058,0.0019337752547899472,-0.0006259632482969161,8.61465732394006,6.9482038610933695e-06,6.1747278550425866e-06,0.9944573891646136,0.9946950482917795,0.993924645134888,0.0,0.0,0.0,-107840.00431569488,-1387857.6414708993,543.0
3,12-13-2010,2575.224250956049,2575.0514993802644,2576.1924656327255,0.2183019934807341,0.2222465974132826,0.21635915654188687,2575.224250956049,2575.0514993802644,2576.1924656327255,1847.35581150582,0.0018288759184643159,-0.0006625014102178905,15.854791297167187,1.0757979964625046e-05,1.139844908724142e-05,1856.928368179094,0.0018178592889487159,-0.0006546488101202531,16.141279162517083,1.0952371089539637e-05,1.1604413157414122e-05,1833.8695897653702,0.0018374199885132327,-0.0006735596300669854,15.713687344396694,1.0662236446569052e-05,1.1297005543046023e-05,0.9885472186580286,0.9879778966052017,0.9888780048771225,0.0,0.0,0.0,-104633.62363890898,-1388713.0809756694,372.0
4,01-28-2011,2575.185839289655,2574.9687384354747,2576.453564630965,0.16000430154456802,0.16071059573750948,0.15960081413943325,2575.185839289655,2574.9687384354747,2576.4535646309655,1812.034547840934,0.0018145947006334,-0.0006868399328422668,11.144657089236757,7.947084261832243e-06,7.99789050121894e-06,1815.9285834367936,0.001819853105781155,-0.000684275542766642,11.193852057796873,7.98216444036757e-06,8.033194949673862e-06,1803.5209559999967,0.0018061228794742329,-0.0006932463084962364,11.1165532899914,7.927043873070872e-06,7.977721992916457e-06,0.9913864633845891,0.9913459806223514,0.9913808951519186,0.0,0.0,0.0,-102532.48610840921,-1387387.2899786467,526.0
5,03-02-2011,2576.0533841582906,2575.8930853642805,2577.1944755788195,0.17984305523244803,0.17769260882193308,0.17956867240887672,2576.0533841582906,2575.8930853642805,2577.1944755788195,1895.5294665222245,0.0019500035462914414,-0.0006375450271871356,11.01188632365724,1.0303680999033443e-05,7.996905221041272e-06,1894.44615936421,0.001946966297435839,-0.0006379805161098517,10.880213341408112,1.0180476275936027e-05,7.901283423987666e-06,1894.800414318173,0.0019508876612765516,-0.0006389590419503097,10.995085716821883,1.0287960886390271e-05,7.984704508414074e-06,0.9892324533916075,0.9894586095255636,0.9892788367050737,0.0,0.0,0.0,-109145.69868489882,-1388490.9639975063,424.0
6,04-05-2011,2574.5129682517545,2574.3627183001768,2575.5893900489373,0.15296925808518388,0.15033905797088226,0.16155122879829603,2574.512968251754,2574.3627183001768,2575.5893900489373,1762.6768349159854,0.0017193105022634424,-0.0007147140882152734,10.611281946524489,7.4702879490344316e-06,7.625183709966727e-06,1763.9014778922906,0.001718266949943969,-0.0007136448019862975,10.428828325848984,7.341841537878959e-06,7.494073973818874e-06,1760.1142171476747,0.0017118196076952752,-0.0007167697424377906,11.206602287594947,7.889390409239092e-06,8.052976222673364e-06,0.9935029619873372,0.9937139306759866,0.9927107931200533,0.0,0.0,0.0,-101771.39450262467,-1388297.9131047684,404.0
7,05-21-2011,2575.911005633832,2575.7513899791334,2577.0445211124306,0.14720006809332645,0.14267264813016492,0.15692635463355126,2575.911005633832,2575.7513899791334,2577.0445211124306,1866.2481170321944,0.001875149626622218,-0.0006528818892427976,10.121549840731948,8.466138663708874e-06,7.2676999730412426e-06,1859.8506944304322,0.001878434974500685,-0.0006576237047899495,9.810242193959098,8.205746357577497e-06,7.044167943691974e-06,1874.5322998888291,0.001875413914694688,-0.0006477506011309921,10.790334137212861,9.025541193876025e-06,7.747915324443716e-06,0.991106742891808,0.9916826929993063,0.9898852179853824,0.0,0.0,0.0,-104257.42670335826,-1387531.8610553776,513.0
8,06-24-2011,2574.267303975014,2574.159043117833,2575.3135500930757,0.16381361786757642,0.16508530035604946,0.16428244747770426,2574.2673039750134,2574.159043117833,2575.3135500930757,1824.3264861560494,0.001755255413573016,-0.000672840758789433,12.190368026508205,7.482488803043929e-06,8.768498987567647e-06,1825.4899183397417,0.0017555617555751924,-0.0006719477880061269,12.285001658009211,7.540575243630291e-06,8.836568704593581e-06,1816.1707794198844,0.0017508969250225508,-0.0006791404902114092,12.225256490371994,7.503903459242047e-06,8.79359416594144e-06,0.9925704937680631,0.992456088357377,0.9925077913204867,0.0,0.0,0.0,-105106.01946362045,-1388667.5330792782,453.0
9,08-02-2011,2575.6469169896873,2575.5477945493376,2576.636941221471,0.14472537559768808,0.13578853971407753,0.15767127076048076,2575.6469169896873,2575.5477945493376,2576.636941221471,1837.3447362724246,0.0017862632317784707,-0.0006667987704116552,10.016665701808225,7.897343150673025e-06,7.226650598313995e-06,1834.8981268657344,0.0017832159560652672,-0.0006682596787071708,9.39813355351711,7.40967981337146e-06,6.780402729752551e-06,1834.5404216681568,0.0017999651925964793,-0.0006705672165146291,10.912671005075161,8.603771971936815e-06,7.873084996117408e-06,0.9903125954651788,0.9914417105891721,0.9886890827999876,0.0,0.0,0.0,-103658.89400987365,-1387960.113007135,563.0
